"(주)아리바이오","인삼 및 건강제품","경기 성남시 분당구 동판교로 56","백현동, 아리바이오빌딩"
"푸르 무아 커피","식품잡화","경기 성남시 분당구 성남대로 170 ,109호, 108-2호","금곡동"
"튼튼마디","인삼 및 건강제품","경기 성남시 분당구 서현로 184203","서현동,분당LG메디오상가"
"한세성모","인삼 및 건강제품","경기 성남시 분당구 성남대로 449A-801","정자동,로얄팰리스"
"맛나반찬","식품잡화","경기 성남시 분당구 미금로 184,지하상가 11호 맛나반찬","구미동"
"맛있는다이어트클럽","인삼 및 건강제품","경기 성남시 분당구 돌마로 3611층 112호 동신코아빌딩","수내동"
"강화홍삼","인삼 및 건강제품","경기 성남시 분당구 양현로94번길 29상가동-120 이매촌",""
"주식회사 피디에이치아이엔씨","인삼 및 건강제품","경기 성남시 분당구 장미로86번길 6,302호","야탑동, 우리빌딩"
"석운매점","식품잡화","경기 성남시 분당구 석운로202번길 7","석운동,B동1층"
"이노밸리판교사내매점","식품잡화","경기 성남시 분당구 판교로253","상평동,이노밸리C동지하1층"
"한살림성남용인소비자생활협동조합동판교백","할인점/슈퍼마켓","경기 성남시 분당구 판교역로2번길 37,매장","백현동"
"씨유분당백현점","편의점","경기 성남시 분당구 동판교로52번길 19,1층 101호","백현동"
"은솔유통","식품잡화","경기 성남시 분당구 판교로50 103-404","판교동,판교원마을"
"야탑홈마트","할인점/슈퍼마켓","경기 성남시 분당구 야탑로 241,1층","야탑동, 천궁빌딩"
"(주)게인플러스","식품잡화","경기 성남시 분당구 야탑로 103,517호","야탑동"
"(주)비엘","식품잡화","경기 성남시 분당구 운중로138번길 7,1층 일부","운중동"
"(주)차바이오에프앤씨분당지점","인삼 및 건강제품","경기 성남시 분당구 야탑로59","야탑동"
"엄마손반찬","식품잡화","경기 성남시 분당구 내정로165번길38","수내동,양지마을602동상가지층13호"
"(주)이투힐에프이앤디","식품잡화","경기 성남시 분당구 매화로 55,301호 302호","야탑동"
"농축산마트","할인점/슈퍼마켓","경기 성남시 분당구 야탑남로 143,104호 상가","야탑동, 목련마을주공1단지아파트"
"공감나누미","식품잡화","경기 성남시 분당구 성남대로 381,505호 506 폴라리스빌딩","정자동"
"총각네야채가게 정자파크뷰","할인점/슈퍼마켓","경기 성남시 분당구 정자일로 234,106호","정자동, 태남프라자"
"이 제이 메디컬","인삼 및 건강제품","경기 성남시 분당구 성남대로779번길 52,301호","이매동"
"주식회사 세계로마트 야탑점","할인점/슈퍼마켓","경기 성남시 분당구 야탑동273-3, 273-4,273-5번지",""
"엄지테라피","식품잡화","경기 성남시 분당구 판교로 445","야탑동"
"소중한식사","식품잡화","경기 성남시 분당구 정자일로 121디-16호일부 17호 정자동, 더샵스타파크",""
"다원반찬","식품잡화","경기 성남시 분당구 불정로386번길10 효자촌주상복합601동지하1층일부",""
"(주)산내들에스엠","인삼 및 건강제품","경기 성남시 분당구 야탑남로 230,E동 208호","야탑동, 분당테크노파크"
"오렌지마트","할인점/슈퍼마켓","경기 성남시 분당구 대왕판교로 660,유스페이스 113호","삼평동"
"세븐일레븐 분당야탑본점","편의점","경기 성남시 분당구 장미로108번길 13,1층","야탑동"
"더.세이브마트","할인점/슈퍼마켓","경기 성남시 분당구 동판교로 212,상가동 106호","삼평동, 봇들마을6단지아파트"
"네이브키즈연세소아과","인삼 및 건강제품","경기 성남시 분당구 야탑로81번길 10,309동 1호","야탑동, 분당아미고타워"
"옆집반찬","식품잡화","경기 성남시 분당구 동판교로 59,B동 102호","백현동"
"가락한우","할인점/슈퍼마켓","경기 성남시 분당구 동판교로 155,상가동 104호","삼평동, 봇들마을7단지아파트"
"다정한슈퍼","식품잡화","경기 성남시 분당구 매화로 14,104호 상가","야탑동"
"(주)후니드 SK플래닛 판교마트점","식품잡화","경기 성남시 분당구 삼평동623-1번지",""
"(주) 헬스앤뉴트리션","인삼 및 건강제품","경기 성남시 분당구 판교역로 240 ,A동410~3호 삼환하이펙스","삼평동"
"운중슈퍼","할인점/슈퍼마켓","경기 성남시 분당구 운중동382-1번지",""
"큰손견과","식품잡화","경기 성남시 분당구 대왕판교로 372,3층","백현동"
"분당테크노파크이동구내매점","식품잡화","경기 성남시 분당구 야탑남로 230,E동 1층 매점","야탑동, 분당테크노파크"
"예스홈셰프","식품잡화","경기 성남시 분당구 내정로173번길 11,1","수내동, 양지마을한양아파트"
"주식회사 새일매디팜","인삼 및 건강제품","경기 성남시 분당구 매화로 52,301호","야탑동"
"청원","미곡상","경기 성남시 분당구 대왕판교로 120","금곡동"
"메디파크힐링","인삼 및 건강제품","경기 성남시 분당구 돌마로 43","금곡동"
"샘물유통","식품잡화","경기 성남시 분당구 대왕판교로644번길 65,501동 1105호","삼평동, 봇들마을5단지아파트"
"주식회사 커피지인","식품잡화","경기 성남시 분당구 석운로 21","석운동"
"GS25수내제일점","편의점","경기 성남시 분당구 내정로174번길 6,106호 상가","수내동"
