Name,Address,IndustryInfo,Neighborhood,좌표
정관장분당동점,인삼 및 건강제품,경기 성남시 분당구 분당로263번길 39,서현동,"(37.3724479, 127.1411847)"
세븐일레븐판교백현점,편의점,경기 성남시 분당구 동판교로 122,"백현동, 백현마을2단지아파트","(37.4062598, 127.115387)"
하모니마트 구미점,할인점/슈퍼마켓,경기 성남시 분당구 미금로33번길 18,구미동,"(37.336974100000006, 127.11568735)"
소백코리아,인삼 및 건강제품,경기 성남시 분당구 돌마로 80,"구미동, 분당현대벤쳐빌","(37.34967775, 127.11041683472561)"
형제슈퍼,식품잡화,경기 성남시 분당구 중앙공원로 54,서현동,"(37.382904, 127.1322702)"
한살림성남용인소비자생협 판교매장,농협(마트),경기 성남시 분당구 운중로267번길 4-10,판교동,"(37.38909995, 127.09366856249369)"
휴먼24시 (서판교점),편의점,경기 성남시 분당구 운중로267번길 3-10,판교동,"(37.389693199999996, 127.09191275)"
IGA서판교점,할인점/슈퍼마켓,경기 성남시 분당구 운중로 233,판교동,"(37.390023850000006, 127.08897096759816)"
남분당가맹점,식품잡화,경기 성남시 분당구 백현로 206,"정자동, 한솔마을주공4단지아파트","(37.3744655, 127.1135336)"
굿데이편의점,편의점,경기 성남시 분당구 서현로180번길 26,"서현동, 아름빌딩","(37.3880213, 127.1225311)"
경기성남만남지역자활센터,연쇄점,경기 성남시 분당구 문정로 145,율동,"(37.3826433, 127.150581)"
경기성남지역자활센터착한매점,편의점,경기 성남시 분당구 문정로 145,율동,"(37.3826433, 127.150581)"
행복한식탁,식품잡화,경기 성남시 분당구 수내동53 파크타운주상복합상가167-170,,
(주)뱅가드,편의점,경기 성남시 분당구 분당로 43,서현동,"(37.3839239, 127.1201766)"
삼평마트,할인점/슈퍼마켓,경기 성남시 분당구 판교로 182-7,판교동,"(37.39970875, 127.09593928925767)"
도깨비식자재마트(분당점),식품잡화,경기 성남시 분당구 금곡동 161천사의도시 1차 지하1층,,
효자반찬,식품잡화,경기 성남시 분당구 불정로376번길 37,"서현동, 범한프라자","(37.372353, 127.1381386)"
24T BLVD,식품잡화,경기 성남시 분당구 성남대로 393,"정자동, 두산위브파빌리온","(37.3724397, 127.1081833)"
GS25판교운중점,편의점,경기 성남시 분당구 하오개로 362,"운중동, 효림빌딩","(37.39144185, 127.05955190349498)"
GS25분당이매역점,편의점,경기 성남시 분당구 방아로 8,"이매동, 매송빌딩","(37.3978388, 127.1296378604381)"
서울하이패스센터 쉼터,편의점,경기 성남시 분당구 궁내동257-20번지,,
몬스터커피,식품잡화,경기 성남시 분당구 탄천상로 164,"구미동, 시그마2오피스텔","(37.3425981, 127.1073899)"
동아유통,할인점/슈퍼마켓,경기 성남시 분당구 백현로 206,정자동,"(37.3744655, 127.1135336)"
하모니마트,할인점/슈퍼마켓,경기 성남시 분당구 서현동 305-4대동빌딩 1층,,
GS25 분당백현점,편의점,경기 성남시 분당구 대왕판교로 387,백현동,"(37.4052552, 127.1033889)"
포스코아이씨티 Mash up,연쇄점,경기 성남시 분당구 삼평동622번지 2층,,
퍼스트소아청소년,인삼 및 건강제품,경기 성남시 분당구 동판교로 59,"백현동, 자유퍼스트프라자","(37.38837265, 127.11512462614155)"
텐퍼센트 판교역점,편의점,경기 성남시 분당구 대왕판교로606번길 39,"삼평동, 럭스타워","(37.39647, 127.1115355)"
한스(판교),식품잡화,경기 성남시 분당구 운중로267번길 4-8,판교동,"(37.3891298, 127.09352945673803)"
주식회사 유니버셜코리아,식품잡화,경기 성남시 분당구 성남대로43번길 10,"구미동, 하나EZ타워","(37.3396493, 127.1088248)"
소프텍어드벤스,인삼 및 건강제품,경기 성남시 분당구 야탑로75번길 9404호,"야탑동, 금호프라자",
마임 분당 상탑지사,인삼 및 건강제품,경기 성남시 분당구 성남대로925번길 19,"야탑동, 터미널프라자","(37.4120221, 127.1264988)"
