Name,Address,IndustryInfo,Neighborhood,좌표
남양트레이딩,화장품,경기 성남시 분당구 성남대로779번길 54,209호,"(37.3992096, 127.1214206)"
아모레외판원,화장품,경기 성남시 분당구 백현로101번길 16,415호,"(37.3764421, 127.1114779)"
아모레외판,화장품,경기 성남시 분당구 백현로101번길 16,414,"(37.3764421, 127.1114779)"
아모레카운셀러,화장품,경기 성남시 분당구 백현로101번길 16,414,"(37.3764421, 127.1114779)"
스킨팰리스,화장품,경기 성남시 분당구 백현로 97,406동 1호 수내동다운타운,"(37.3744655, 127.1135336)"
리지엔피부관리실,피부미용실,경기 성남시 분당구 성남대로 385,501호,"(37.3705166, 127.10765030009276)"
이노헤어,"이용,미용",경기 성남시 분당구 돌마로 481,102-2,"(37.3500363, 127.1120226)"
아모레,화장품,경기 성남시 분당구 황새울로312번길 20,9층 904 905호,"(37.38405935, 127.1226110866697)"
폴미첼코리아,미용재료,경기 성남시 분당구 분당동샛별마을삼부@401-101,,
박소현 천연화장품 만들기,화장품,경기 성남시 분당구 미금일로80번길 4,1층,"(37.346338849999995, 127.11108575)"
헤어코디(한라미용실),"이용,미용",경기 성남시 분당구 정자일로 72,상가 107,"(37.3507854, 127.1063437)"
준헤어,"이용,미용",경기 성남시 분당구 야탑동188SK뷰B104호101,,
블루클럽 미금역점,"이용,미용",경기 성남시 분당구 돌마로68,"구미동,분당프라자115호",
나노헤어,"이용,미용",경기 성남시 분당구 백현로101번길 16,3층 313호,"(37.3764421, 127.1114779)"
나랑헤어샵,"이용,미용",경기 성남시 분당구 미금로 114,상가동 1층 104호,"(37.3487698, 127.117186748023)"
아리온헤어,"이용,미용",경기 성남시 분당구 금곡동107,,
중구,화장품,경기 성남시 분당구 내정로173번길 49,3,"(37.3759028, 127.1178763)"
마이미용실,"이용,미용",경기 성남시 분당구 발이봉남로4번길 10,수내동,"(37.36494035, 127.12495653819445)"
아모레카운셀러,화장품,경기 성남시 분당구 황새울로312번길 20,9층,"(37.38405935, 127.1226110866697)"
이철헤어커커 (미금3호점),"이용,미용",경기 성남시 분당구 성남대로 165,천사의도시 227,"(37.3724397, 127.1081833)"
제이아르뷰,"이용,미용",경기 성남시 분당구 장미로100번길 6,1층,"(37.4129851, 127.13176912459798)"
아모레,화장품,경기 성남시 분당구 황새울로312번길 20,9층,"(37.38405935, 127.1226110866697)"
유난희고은피부,화장품,경기 성남시 분당구 돌마로 481,210,"(37.3500363, 127.1120226)"
밀리헤어,"이용,미용",경기 성남시 분당구 서현로180번길 13,204호,"(37.3878973, 127.1228833)"
이은주미용실,"이용,미용",경기 성남시 분당구 불정로 219,한솔마을 청구종합상가 111,"(37.3663447, 127.1262311)"
알로에마임,화장품,경기 성남시 분당구 야탑로 95,세신옴니코아 713,"(37.4101687, 127.1292980998885)"
아모레,화장품,경기 성남시 분당구 야탑동265-6 태성빌딩 9층,,
아모레,화장품,경기 성남시 분당구 야탑동265-6 태성빌딩 9층,,
Queen,화장품,경기 성남시 분당구 정자일로 55,금곡동,"(37.3507854, 127.1063437)"
아모레 카운셀러,화장품,경기 성남시 분당구 매화로 38,야탑동,"(37.41101655, 127.13417343317076)"
피부사랑,화장품,경기 성남시 분당구 미금로 45,훼미리상가 311,"(37.3464498, 127.1160634)"
미데르마에스테틱,피부미용실,경기 성남시 분당구 성남대로331번길 3-3,3차 408호,"(37.3653298, 127.1077077)"
아름다운 사람들,"이용,미용",경기 성남시 분당구 장안로16번길 2,분당동,"(37.36857605, 127.14178338897146)"
