storeName,type,address,district,latitude,longitude
그린미용실,,경기 성남시 분당구 미금일로74번길 18,,37.3473902,127.111790899667
분당 아이조아,,경기 성남시 분당구 성남대로 912,,37.4109688,127.129252675074
마임분당야탑,,경기 성남시 분당구 성남대로925번길 11,,37.41201245,127.127265815525
엘린뷰티갤러리,,경기 성남시 분당구 성남대로 393,,37.3801547,127.1187021
레드도어,,경기 성남시 분당구 구미로 60,,37.3438358,127.1275804
연 헤어라인,,경기 성남시 분당구 미금로22번길 10,,37.3366942,127.1188513
마임분당아름,,경기 성남시 분당구 성남대로925번길 11,,37.41201245,127.127265815525
루이제 린,,경기 성남시 분당구 황새울로312번길 20,,37.38405935,127.12261108667
오지영미용실,,경기 성남시 분당구 장안로25번길 28,,37.370766,127.1434222
리라헤어샵,,경기 성남시 분당구 불정로 362,,37.3721902,127.1361805
베라헤어,,경기 성남시 분당구 장미로 108,,37.4132104,127.132724625348
종각이용원,,경기 성남시 분당구 내정로113번길 10,,37.3706995,127.11408015
블루클럽,,경기 성남시 분당구 분당로53번길 12,,37.38360495,127.121936889523
가모디자인폴레,,경기 성남시 분당구 수내로46번길 11,,37.379965,127.1168325
거부기미용실,,경기 성남시 분당구 백현로144번길 12-1,,37.37277425,127.1131897
스페셜스킨케어,,경기 성남시 분당구 돌마로 73,,37.3503495,127.1100823
아모레카운셀러,,경기 성남시 분당구 백현로101번길 16,,37.3770069,127.1126882
아모레카운셀러,,경기 성남시 분당구 백현로101번길 16,,37.3770069,127.1126882
아모레,,경기 성남시 분당구 백현로101번길 16,,37.3770069,127.1126882
아모레외판,,경기 성남시 분당구 백현로101번길 16,,37.3770069,127.1126882
아모레카운셀러,,경기 성남시 분당구 백현로101번길 16,,37.3770069,127.1126882
베스트헤어샵,,경기 성남시 분당구 양현로94번길 11,,37.3907172,127.1262382
(주)에제르,,경기 성남시 분당구 서현로 216,,37.3900856,127.1224063
꽁빠니드프로방스(아브뉴프랑점),,경기 성남시 분당구 동판교로177번길 25,,37.3979779,127.113838848005
나이스가이 (시범단지점),,경기 성남시 분당구 중앙공원로39번길 49,,37.3824209,127.1272947
남자만들기,,경기 성남시 분당구 백현로101번길 25,,37.3776729,127.1131687
박수진헤어,,경기 성남시 분당구 내정로119번길 24,,37.3724396,127.113555141519
헤어플어스,,경기 성남시 분당구 이매로 51,,37.3949701,127.126582044743
헤어사롱 비엔쥐,,경기 성남시 분당구 분당로 190,,37.385305,127.1182524
예쁜걸 미용실,,경기 성남시 분당구 내정로 29,,37.3627809,127.11450635
허니&준,,경기 성남시 분당구 성남대로 69,,37.34217265,127.108298002267
아모레카운셀러,,경기 성남시 분당구 백현로101번길 16,,37.3770069,127.1126882
니나 에스테틱,,경기 성남시 분당구 성남대로916번길 5,,37.411549,127.1298651
모젤헤어샵,,경기 성남시 분당구 양현로 220,,37.387706,127.1203123
우바헤어,,경기 성남시 분당구 판교역로10번길 27-1,,37.386136,127.1114262
경기상사,,경기 성남시 분당구 미금일로79번길 6,,37.3453294,127.11075425
헤어매직,,경기 성남시 분당구 내정로 24,,37.368652,127.1147912
하정우헤어,,경기 성남시 분당구 백현로101번길 12,,37.3776729,127.1131687
엘라에스테틱,,경기 성남시 분당구 분당로53번길 19,,37.383188,127.120908
티티사,,경기 성남시 분당구 정자일로 234,,37.3711706,127.1064575
아름다운 신화,,경기 성남시 분당구 야탑로 95,,37.4101687,127.129298099889
필라테스인뉴욕,,경기 성남시 분당구 정자일로 121,,37.3603053,127.105087580278
카라화장품,,경기 성남시 분당구 돌마로 478,,37.3714707,127.1249708
나이스가이,,경기 성남시 분당구 내정로174번길 6,,37.3726856,127.1215298
아모레 카운셀러,,경기 성남시 분당구 구미로9번길 7,,37.3389654,127.1100861
라비앙로즈,,경기 성남시 분당구 야탑로 106,,37.4095554,127.130594408216
신데렐라,,경기 성남시 분당구 돌마로 364,,37.3714707,127.1249708
체리빌사우나 스킨케어,,경기 성남시 분당구 구미로9번길 16,,37.3394745,127.110675074792
헤어아티스트엠,,경기 성남시 분당구 성남대로 151,,37.3801547,127.1187021
로즈마리,,경기 성남시 분당구 성남대로 51,,37.3406526,127.1084023
아모레 카운셀러,,경기 성남시 분당구 매화로 38,,37.41101655,127.134173433171
아모레카운셀러,,경기 성남시 분당구 매화로 38,,37.41101655,127.134173433171
미소근육조정원,,경기 성남시 분당구 내정로173번길 49,,37.3775217,127.115792
WI헤어샵,,경기 성남시 분당구 판교로 421,,37.4001937,127.0962964
노블레스,,경기 성남시 분당구 성남대로 165,,37.3801547,127.1187021
토니앤가이(프리미엄분당점),,경기 성남시 분당구 정자일로 135,,37.3622773,127.1052174
지아네일,,경기 성남시 분당구 내정로173번길 11,,37.3759028,127.1178763
정은자미용실,,경기 성남시 분당구 매화로 12,,37.411795,127.1339061
도도앤헤어,,경기 성남시 분당구 운중로 120,,37.3915395,127.0665087
J가발 전문점,,경기 성남시 분당구 성남대로 912,,37.4109688,127.129252675074
더네일,,경기 성남시 분당구 중앙공원로31번길 42,,37.3818329,127.1263572
제니스 글로벌,,경기 성남시 분당구 성남대로 165,,37.3801547,127.1187021
테라피안,,경기 성남시 분당구 성남대로172번길 12,,37.3513723,127.1110642
김신정헤어클럽,,경기 성남시 분당구 장미로 193,,37.4134109,127.1331151
이희헤어스튜디오,,경기 성남시 분당구 성남대로172번길 12,,37.3513723,127.1110642
주식회사 하스코스,,경기 성남시 분당구 장미로48번길 14,,37.4138261,127.1260624
네일팰리스,,경기 성남시 분당구 백현로101번길 13,,37.3776729,127.1131687
홍수연헤어미가,,경기 성남시 분당구 불곡남로4번길 1,,37.35882055,127.122604594168
윤태정헤어,,경기 성남시 분당구 돌마로 361,,37.3714707,127.1249708
샤론,,경기 성남시 분당구 장미로 78,,37.4135268,127.129583515439
핑크네일,,경기 성남시 분당구 돌마로486번길 12,,37.3766777,127.1347595
미아미용실,,경기 성남시 분당구 돌마로 80,,37.34967775,127.110416834726
전동님미용실,,경기 성남시 분당구 백현로 206,,37.3770252,127.110418
한지혜헤어살롬,,경기 성남시 분당구 중앙공원로40번길 8,,37.3794199,127.1316498
제이원코스메틱,,경기 성남시 분당구 발이봉남로15번길 8-1,,37.36490465,127.12746105904
헤어샵마리,,경기 성남시 분당구 내정로 24,,37.368652,127.1147912
피부미용(화장품),,경기 성남시 분당구 중앙공원로31번길 42,,37.3818329,127.1263572
뷰티호텔(정자점),,경기 성남시 분당구 정자일로 100,,37.3634087,127.105971
모터치분당점,,경기 성남시 분당구 미금일로 75,,37.3456109,127.111335874924
블루헤어샵,,경기 성남시 분당구 무지개로 144,,37.3392971,127.1187926
오라클코스메틱,,경기 성남시 분당구 서현로180번길 13,,37.3878973,127.1228833
퀸,,경기 성남시 분당구 중앙공원로 35,,37.382904,127.1322702
제이헤어샵,,경기 성남시 분당구 금곡로 263,,37.3549498,127.1124997
헤어제이,,경기 성남시 분당구 미금일로 55,,37.3476203,127.1072285
리가헤어샵,,경기 성남시 분당구 불정로376번길 37,,37.372353,127.1381386
에프앤코스,,경기 성남시 분당구 돌마로 80,,37.34967775,127.110416834726
리 헤어샵,,경기 성남시 분당구 중앙공원로 54,,37.382904,127.1322702
유스포뮬러네일아트,,경기 성남시 분당구 정자일로 121,,37.3603053,127.105087580278
노블레스 뷰티,,경기 성남시 분당구 황새울로214번길 8,,37.3779983,127.1127915
클래식댄스스포츠,,경기 성남시 분당구 대왕판교로 221,,37.3757272,127.1017939
문헤어,,경기 성남시 분당구 불정로 380,,37.37397475,127.136869799844
아모레 카운셀러,,경기 성남시 분당구 매화로 38,,37.41101655,127.134173433171
황진이머리방,,경기 성남시 분당구 장미로 189,,37.4134109,127.1331151
황후,,경기 성남시 분당구 정자일로 27,,37.3507854,127.1063437
